"Species","CommonName","Taxa","ZoteroID","UniqueID","SiteID","Location","Long","Lat","Radius","SamplingTechnology","NumIndividuals","Lifestage","Sex","Year","StartMonth","EndMonth","Activities","Method","Title","PublicationYear","Author","UniqueID_from","UniqueID_to","Basin"
"MAHA","Northern Giant Petrel","bird","DINI7AH9","DINI7AH9_A","A","Crozet Island & Kerguelen Island","60","-48","10","SATELLITE TAG (ARGOS)","16","6I; 10A","16U","Unk","16Unk","16Unk","Fledging; Observation","T","Contrasting movement strategies among juvenile albatrosses and petrels",2016,"de Grissac, S.; Börger, L; Guitteaud, A.; Weimerskirch, H.","DINI7AH9_A","DINI7AH9_A","ANT"
"MAHA","Northern Giant Petrel","bird","DINI7AH9","DINI7AH9_B","B","Around Crozet Island","51","-46","10","SATELLITE TAG (ARGOS)","6","6I","6U","Unk","6Unk","6Unk","Observation","T","Contrasting movement strategies among juvenile albatrosses and petrels",2016,"de Grissac, S.; Börger, L; Guitteaud, A.; Weimerskirch, H.","DINI7AH9_B","DINI7AH9_B","ANT"
"MAHA","Northern Giant Petrel","bird","DINI7AH9","DINI7AH9_C","C","54 degrees S Latitude","112","-54","10","GEOLOCATOR (GLS)","10","10A","10U","Unk","10Unk","10Unk","Observation","T","Contrasting movement strategies among juvenile albatrosses and petrels",2016,"de Grissac, S.; Börger, L; Guitteaud, A.; Weimerskirch, H.","DINI7AH9_C","DINI7AH9_C","ANT"
"MAHA","Northern Giant Petrel","bird","K795GTBJ","K795GTBJ_A","A","Bird Island, South Georgia","-38.036020999999998","-54.008764999999997","1","SATELLITE TAG (ARGOS)","17","17Ab","9M; 8F","1998","17Nov","17Dec","Feeding; Breeding","T","Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","K795GTBJ_A","K795GTBJ_A","ANT"
"MAHA","Northern Giant Petrel","bird","K795GTBJ","K795GTBJ_B","B","Falkland Island","-61.385993999999997","-51.417724","10","SATELLITE TAG (ARGOS)","Unk","Ab","F","1998","Nov","Dec","Feeding","T","Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","K795GTBJ_B","K795GTBJ_B","ANT"
"MAHA","Northern Giant Petrel","bird","K795GTBJ","K795GTBJ_C","C","Bird Island","-34.037024000000002","-55.033793000000003","5","SATELLITE TAG (ARGOS)","Unk","Ab","M; F","1998","Nov","Dec","Feeding","T","Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","K795GTBJ_C","K795GTBJ_C","ANT"
"MAHA","Northern Giant Petrel","bird","V775GFQ7","V775GFQ7_A","A","Bird Island","-38.024782000000002","-54.011620000000001","1","SATELLITE TAG (ARGOS)","17","Ab","9M; 8F","1998","17Nov","17Dec","Breeding","T","Foraging partitioning between giant petrels Macronectes spp. and its relationship with breeding population changes at Bird Island, South Georgia",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","V775GFQ7_A","V775GFQ7_A","ANT"
"MAHA","Northern Giant Petrel","bird","V775GFQ7","V775GFQ7_B","B","North of South Georgia","-38","-53.1","5","SATELLITE TAG (ARGOS)","Unk","Ab","M","1998","Unk","Unk","Feeding","T","Foraging partitioning between giant petrels Macronectes spp. and its relationship with breeding population changes at Bird Island, South Georgia",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","V775GFQ7_B","V775GFQ7_B","ANT"
"MAHA","Northern Giant Petrel","bird","V775GFQ7","V775GFQ7_C","C","North-west of South Georgia","-44.7","-53.4","10","SATELLITE TAG (ARGOS)","Unk","Ab","F","1998","Unk","Unk","Feeding","T","Foraging partitioning between giant petrels Macronectes spp. and its relationship with breeding population changes at Bird Island, South Georgia",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","V775GFQ7_C","V775GFQ7_C","ANT"
"MAHA","Northern Giant Petrel","bird","QRHSBQAC","QRHSBQAC_A","A","Bird Island, South Georgia","-38.036020999999998","-54.008764999999997","1","SATELLITE TAG (ARGOS)","7","Ab","5M; 2F","1998","7Oct","7Dec","Breeding","T","Activity patterns of giant petrels, Macronectes spp., using different foraging strategies",2002,"Gonzalez-Solis, J.; Croxall, J. P.; Briggs, D. R.","QRHSBQAC_A","QRHSBQAC_A","ANT"
