"Species","CommonName","Taxa","ZoteroID","UniqueID","SiteID","MetaID","MetasiteID","Duplicate","Rationale","Comments","Location","Radius","SamplingTechnology","NumIndividuals","Lifestage","Sex","Year","StartMonth","EndMonth","Activities","Method","Title","PublicationYear","Author","UniqueID_from","UniqueID_to","Basin","UniqueID_method","Important","GeoLong","GeoLat","MetasiteLong","MetasiteLat"
"MAHA","Northern Giant Petrel","bird","6TRJA9P3","6TRJA9P3_A","A","METAMAHA","AA","FALSE",NA,NA,"Courbet Peninsular, Kerguelen Island",1,"GEOLOCATOR (GLS)",11,"11Ab","7M; 4F","2008","11Nov","11Unk","Breeding","T","Foraging zones of the two sibling species of giant petrels in the Indian Ocean throughout the annual cycle: implication for their conservation",2014,"Thiers, Laurie; Delord, Karine; Barbraud, Christophe; Phillips, Richard A.; Pinaud, David; Weimerskirch, Henri","6TRJA9P3_A","6TRJA9P3_A","ANT","6TRJA9P3_A_T",1,69.527509,-49.222312,69.527509,-49.222312
"MAHA","Northern Giant Petrel","bird","6TRJA9P3","6TRJA9P3_B","B","METAMAHA","AB","FALSE",NA,NA,"Possession Island, Crozet Island",1,"GEOLOCATOR (GLS)",17,"17Ab","8M; 9F","2008","17Nov","17Unk","Breeding","T","Foraging zones of the two sibling species of giant petrels in the Indian Ocean throughout the annual cycle: implication for their conservation",2014,"Thiers, Laurie; Delord, Karine; Barbraud, Christophe; Phillips, Richard A.; Pinaud, David; Weimerskirch, Henri","6TRJA9P3_B","6TRJA9P3_B","ANT","6TRJA9P3_B_T",1,51.736281,-46.434203,51.736281,-46.434203
"MAHA","Northern Giant Petrel","bird","K795GTBJ","K795GTBJ_A","A","METAMAHA","AC","FALSE",NA,NA,"Bird Island, South Georgia",1,"SATELLITE TAG (ARGOS)",17,"17Ab","9M; 8F","1998","17Nov","17Dec","Feeding;Breeding","T","Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","K795GTBJ_A","K795GTBJ_A","ANT","K795GTBJ_A_T",1,-38.036021,-54.008765,-38.03955149991,-54.0090534999999
"MAHA","Northern Giant Petrel","bird","QRHSBQAC","QRHSBQAC_A","A","METAMAHA","AC","TRUE","Same data","This site was aggregated with K795GTBJ_A_T that had the same year(s) and one or more of the same authors","Bird Island, South Georgia",1,"SATELLITE TAG (ARGOS)",7,"Ab","5M; 2F","1998","7Oct","7Dec","Breeding","T","Activity patterns of giant petrels, Macronectes spp., using different foraging strategies",2002,"Gonzalez-Solis, J.; Croxall, J. P.; Briggs, D. R.","QRHSBQAC_A","QRHSBQAC_A","ANT","QRHSBQAC_A_T",1,-38.036021,-54.008765,-38.03955149991,-54.0090534999999
"MAHA","Northern Giant Petrel","bird","RH66PHG6","RH66PHG6_A","A","METAMAHA","AC","FALSE",NA,NA,"Bird Island, South Georgia",1,"GEOLOCATOR (GLS)",25,"Ab","14M; 11F","1999","25Nov","25Nov","Breeding","T","Offshore spatial segregation in giant petrels Macronectes spp.: differences between species, sexes and seasons",2007,"Gonzalez-Solis, J.; Croxall, J. P.; Afanasyev, V.","RH66PHG6_A","RH66PHG6_A","ANT","RH66PHG6_A_T",1,-38.061382,-54.007064,-38.03955149991,-54.0090534999999
"MAHA","Northern Giant Petrel","bird","V775GFQ7","V775GFQ7_A","A","METAMAHA","AC","TRUE","Same data","This site was aggregated with K795GTBJ_A_T that had the same year(s) and one or more of the same authors","Bird Island",1,"SATELLITE TAG (ARGOS)",17,"Ab","9M; 8F","1998","17Nov","17Dec","Breeding","T","Foraging partitioning between giant petrels Macronectes spp. and its relationship with breeding population changes at Bird Island, South Georgia",2000,"Gonzalez-Solis, J.; Croxall, J. P.; Wood, A. G.","V775GFQ7_A","V775GFQ7_A","ANT","V775GFQ7_A_T",1,-38.024782,-54.01162,-38.03955149991,-54.0090534999999
"MAHA","Northern Giant Petrel","bird","RGT9T9HG","RGT9T9HG_A","A","METAMAHA","AD","FALSE",NA,NA,"Macquarie Island",1,"SATELLITE TAG (ARGOS); BANDING",33,"4Ab; 29I","33U","2005; 2006; 2007; Unk","6Nov; 3Feb; 24Unk","9Mar; 24Unk","Breeding;Fledging","T;MR","At sea movement of Macquarie Island giant petrels: Relationships with marine protected areas and Regional Fisheries Management Organisations",2008,"Trebilco, Rowan; Gales, Rosemary; Baker, G. Barry; Terauds, Aleks; Sumner, Michael D.","RGT9T9HG_A","RGT9T9HG_A","ANT","RGT9T9HG_A_T;MR",1,158.855733,-54.626549,158.855733,-54.626549
"MAHA","Northern Giant Petrel","bird","S3BMTSF9","S3BMTSF9_A","A","METAMAHA","AE","FALSE",NA,NA,"South Georgia",1,"SATELLITE TAG (ARGOS); GPS DATALOGGERS",30,"30Ab","30U","2004; 2005","30Dec","30Mar","Breeding","T","Marine spatial planning for the conservation of albatrosses and large petrels breeding at South Georgia",2016,"Tancell, C.; Sutherland, W. J.; Phillips, R. A.","S3BMTSF9_A","S3BMTSF9_A","ANT","S3BMTSF9_A_T",1,-36.728615,-54.345941,-36.728615,-54.345941
"MAHA","Northern Giant Petrel","bird","DINI7AH9","DINI7AH9_A","A","METAMAHA","AF","FALSE",NA,NA,"Crozet Island & Kerguelen Island",10,"SATELLITE TAG (ARGOS)",16,"6I; 10A","16U","Unk","16Unk","16Unk","Fledging;Observation","T","Contrasting movement strategies among juvenile albatrosses and petrels",2016,"de Grissac, S.; Börger, L; Guitteaud, A.; Weimerskirch, H.","DINI7AH9_A","DINI7AH9_A","ANT","DINI7AH9_A_T",1,60,-48,59.9999999999999,-44.3338717844033
"MAHA","Northern Giant Petrel","bird","6TRJA9P3","6TRJA9P3_D","D","METAMAHA","AF","FALSE",NA,NA,"Indian Ocean 2",10,"GEOLOCATOR (GLS)",NA,"Ab","M","2008","Unk","Unk","Observation;Likelyfeeding","T","Foraging zones of the two sibling species of giant petrels in the Indian Ocean throughout the annual cycle: implication for their conservation",2014,"Thiers, Laurie; Delord, Karine; Barbraud, Christophe; Phillips, Richard A.; Pinaud, David; Weimerskirch, Henri","6TRJA9P3_D","6TRJA9P3_D","ANT","6TRJA9P3_D_T",2,60,-45,59.9999999999999,-44.3338717844033
