Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,,,,
ACSO,Wahoo,FU9MTDD3_Luckhurst_2007_Acso,FU9MTDD3,MR,A,-65,14,5,Southeast Caribbean,UNK (mark-recapture),250,,,,(UNK),(UNK),,OBS,"No figures or table, general descriptive location.",,,,,,
ACSO,Wahoo,FU9MTDD3_Luckhurst_2007_Acso,FU9MTDD3,MR,B,-66,34,10,Northwest Atlantic,UNK (mark-recapture),159,,,,(UNK),(UNK),,OBS,"No figures or table, general descriptive location.",,,,,,
ACSO,Wahoo,FU9MTDD3_Luckhurst_2007_Acso,FU9MTDD3,MR,C,-64,32,1,Bermuda,UNK (mark-recapture),15,,1,,(UNK),(UNK),,OBS,"No figures or table, general descriptive location.",,,,,,
ACSO,Wahoo,FU9MTDD3_Luckhurst_2007_Acso,FU9MTDD3,MR,D,-65.051348,32.06121,1,Challenger Bank,UNK (mark-recapture),1,,1,,(UNK),(UNK),,OBS,"No figures or table, general descriptive location.",,,,,,
ACSO,Wahoo,FU9MTDD3_Luckhurst_2007_Acso,FU9MTDD3,T,E,-75.5,31.5,10,Northwest Atlantic,PSAT,3,,,,(UNK),(UNK),,OBS,"No figures or table, general descriptive location.",,,,,,
ACSO,Wahoo,VADCVGV9_Theisen_and_Baldwin_2012_Acso,VADCVGV9,T,A,-79.3,26.5,1,"Southeast Florida (26.5 N, -79.3W)",POP-UP SATELLITE ARCHIVAL TAG (PSAT),5,2,,2006,FEB; OCT,OCT; (UNK),,OBS,,,,,,,
ACSO,Wahoo,VADCVGV9_Theisen_and_Baldwin_2012_Acso,VADCVGV9,T,B,-78.7,31.78,1,Coastal South Carolina,POP-UP SATELLITE ARCHIVAL TAG (PSAT),3,1,,2006,OCT; (UNK),FEB; NOV,,OBS,,,,,,,
ACSO,Wahoo,VADCVGV9_Theisen_and_Baldwin_2012_Acso,VADCVGV9,T,C,-63.82,38.04,1,North Atlantic Ocean,POP-UP SATELLITE ARCHIVAL TAG (PSAT),2,1,,2006,(UNK),NOV,,OBS,,,,,,,
ACSO,Wahoo,VTAKIHF8_Sepulveda_etal_2011_Acso,VTAKIHF8,MR,A,-115.75,25,1,"Alijos Rocks (25 N, -115.75W)",Datalogger,3,,,2005,OCT; (UNK),OCT; (UNK),,OBS,,,,,,,
ACSO,Wahoo,VTAKIHF8_Sepulveda_etal_2011_Acso,VTAKIHF8,MR,B,-113.35,25.92,1,"Magdalena Bay Ridge (25.92N, -113.35W)",Datalogger,28,,,2005; 2006,OCT; (UNK),OCT; (UNK),,FEE,,,,,,,
ACSO,Wahoo,VTAKIHF8_Sepulveda_etal_2011_Acso,VTAKIHF8,MR,C,-117.48,16.85,1,"Hurricane Bank (16.85N, -117.48W)",Datalogger,40,,,2008; 2009,JAN; NOV; (UNK),JAN; FEB; DEC; (UNK),,FEE,,,,,,,
ALSU,Bigeye Thresher Shark,H63PTXJ8_Stevens_etal_2010_ALSU,H63PTXJ8,T,A,152.017,-34.717,1,"(-34,717, 152.017)",PSAT,2,,,2007,SEP,MAR,,FEE,,,,,,,
ALSU,Bigeye Thresher Shark,HGGHU4Z9_Nakano_etal_2003_Alsu,HGGHU4Z9,T,A,-103.53,-6.5,1,"(-6.50, -103.53)",ACOUSTIC/SONIC TAG (TELEMETRY),2,,,1996,JUL,JUL,,FEE,,,,,,,
ALSU,Bigeye Thresher Shark,HGGHU4Z9_Nakano_etal_2003_Alsu,HGGHU4Z9,T,B,-112.77,-9.42,1,"(-9.42, -112.77)",ACOUSTIC/SONIC TAG (TELEMETRY),2,,,1996,JUL,JUL,,FEE,,,,,,,
ALSU,Bigeye Thresher Shark,T8QBS9B7_Coelho_etal_2015_ALSU,T8QBS9B7,T,A,-28,10,10,tropical and subtropical region of the northeast Atlantic Ocean,PSAT,13,,,2012; 2013,AUG; SEP; DEC,JAN; FEB; APR; JUN; SEP; OCT,,FEE; OBS,,,,,,,
ALVU,Common Thresher Shark,59WX422J_Cartamil_etal_2016_Alvu,59WX422J,MR,A,-119,33,5,Southern California Bight,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT); SIGHTINGS (NO TAG/SAMPLE),944,1,1,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,SEP; OCT; (UNK),(UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,59WX422J_Cartamil_etal_2016_Alvu,59WX422J,O,A,-119,33,5,Southern California Bight,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT); SIGHTINGS (NO TAG/SAMPLE),944,1,1,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,SEP; OCT; (UNK),(UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,59WX422J_Cartamil_etal_2016_Alvu,59WX422J,T,A,-119,33,5,Southern California Bight,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT); SIGHTINGS (NO TAG/SAMPLE),944,1,1,1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,SEP; OCT; (UNK),(UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,59WX422J_Cartamil_etal_2016_Alvu,59WX422J,MR,B,-116.3,30,5,Baja California,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT),17,1,1,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,(UNK),JAN; MAR; OCT; (UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,59WX422J_Cartamil_etal_2016_Alvu,59WX422J,T,B,-116.3,30,5,Baja California,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT),17,1,1,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,(UNK),JAN; MAR; OCT; (UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,EHRR467G_Cartamil_etal_2011_Alvu,EHRR467G,MR,A,-117.286,32.832,1,"La Jolla, CA",ARCHIVAL TAG (MARK-RECAP),58,,1,2004; 2005; 2007,APR; MAY; JUN; (UNK),(UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,EHRR467G_Cartamil_etal_2011_Alvu,EHRR467G,MR,B,-119,33,5,Southern California Bight,ARCHIVAL TAG (MARK-RECAP),5,,1,2004; 2005; 2007,(UNK),JUL; AUG; NOV; DEC,,OBS,,,,,,,
ALVU,Common Thresher Shark,HQU6VBGX_Cartamil_etal_2010_Alvu,HQU6VBGX,T,A,-119,33,5,Southern California Bight,ACOUSTIC/SONIC TAG (TELEMETRY),8,,,2005; 2006; 2007,JUN; SEP,JUN; SEP,,OBS,,,,,,,
ALVU,Common Thresher Shark,M8TWC6AN_Heberer_etal_2010_Alvu,M8TWC6AN,T,A,-119,33,5,Southern California Bight,POP-UP SATELLITE ARCHIVAL (PSAT),21,,,2007; 2008; 2009,APR; MAY; SEP; OCT,MAY; OCT,,OBS,,,,,,,
ALVU,Common Thresher Shark,R9HPAP4B_Cartamil_etal_2010_Alvu,R9HPAP4B,T,A,-119,33,5,Southern California Bight,ACOUSTIC/SONIC TAG (TELEMETRY),9,,,2005,APR; MAY; JUN,APR; MAY; JUN,,FEE; OBS,,,,,,,
ALVU,Common Thresher Shark,S655WEPV_Sepulveda_etal_2015_Alvu,S655WEPV,T,A,-117.5,33,5,"Southern California from Laguna Beach (33.467 N, -117.75 W) to U.S. Mexico border (32.55 N, -117.167 W)",POP-UP SATELLITE ARCHIVAL (PSAT),18,1,,2010; 2011; 2012,MAY; JUN; JUL; SEP; OCT; NOV,MAY; JUN; JUL; SEP; OCT; NOV; DEC; (UNK),,OBS,,,,,,,
ALVU,Common Thresher Shark,S655WEPV_Sepulveda_etal_2015_Alvu,S655WEPV,T,B,-120.08,33.6,5,"Northern Baja California, Mexico",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2012,(UNK),DEC,,OBS,,,,,,,
ALVU,Common Thresher Shark,Stevens_etal_2010_ H63PTXJ8_ALVU,H63PTXJ8,T,A,159.3209,-26.3949,5,"southern Queensland waters (-33.90, 152.03)",POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2005,OCT,DEC,,FEE,,,,,,,
ALVU,Common Thresher Shark,Stevens_etal_2010_ H63PTXJ8_ALVU,H63PTXJ8,T,b,158.2043,-22.4504,5,northern Queensland waters,POP-UP SATELLITE ARCHIVAL (PSAT),1,,,2005,DEC,JAN,,FEE,,,,,,,
ALVU,Common Thresher Shark,Stevens_etal_2010_ H63PTXJ8_ALVU,H63PTXJ8,T,C,157.2939,-32.5329,5,central New South Wales coast,POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2005,JAN,MAR,,FEE,,,,,,,
ANAN,European Eel,Amilhat_etal_2016_E6GVHU5K_Anan,E6GVHU5K,T,A,3.14,42.74,1,southern France,POP-UP SATELLITE ARCHIVAL (PSAT),8,1,,2013,DEC,DEC,,OBS,,,,,,,
ANAN,European Eel,Amilhat_etal_2016_E6GVHU5K_Anan,E6GVHU5K,T,B,2.64,39.46,5,Balearic islands,POP-UP SATELLITE ARCHIVAL (PSAT),8,2,,2013,JAN,JAN,,OBS,,,,,,,
ANAN,European Eel,Amilhat_etal_2016_E6GVHU5K_Anan,E6GVHU5K,T,C,0.1,36.63,5,northwest Algeria waters,POP-UP SATELLITE ARCHIVAL (PSAT),6,1,,2013,MAR; APR; (UNK),MAR; APR; (UNK),,OBS,,,,,,,
ANAN,European Eel,Amilhat_etal_2016_E6GVHU5K_Anan,E6GVHU5K,T,D,-3.5,36.29,5,Alboran Sea,POP-UP SATELLITE ARCHIVAL (PSAT),3,1,,2013,JUN,JUN,,OBS,,,,,,,
CACA,Great White Shark,2FUAR92E_Chapple_etal_2016_Caca,2FUAR92E,MR,A,-122.3119,37.2732,10,Central California,ACOUSTIC/SONIC TAG (TELEMETRY); PHOTO-ID,211,,,2006; 2007; 2008; 2009; 2010; 2011; 2012,(UNK),(UNK),,OBS,,,,,,,
CACA,Great White Shark,2FUAR92E_Chapple_etal_2016_Caca,2FUAR92E,T,A,-122.3119,37.2732,10,Central California,ACOUSTIC/SONIC TAG (TELEMETRY); PHOTO-ID,211,,,2006; 2007; 2008; 2009; 2010; 2011; 2012,(UNK),(UNK),,OBS,Repeat,"I dont think this is a duplicate, as they identified sharks via photo ID as well as acoustic tagging. - BP",,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,MR,A,152.179,-32.791,5,"Port Stephens, NSW",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),26,2,,2007; 2008; 2009,OCT; (UNK),OCT; DEC; (UNK),,OBS,,,,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,T,A,152.179,-32.791,5,"Port Stephens, NSW",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),26,2,,2007; 2008; 2009,OCT; (UNK),OCT; DEC; (UNK),,OBS,Repeat,May not be a repeat- different types of tags are used at same location -BP,,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,MR,B,153.132,-25.077,5,"Frasier Island, QLD",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2007; 2008,NOV,JAN,,OBS,,,,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,T,B,153.132,-25.077,5,"Frasier Island, QLD",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2007; 2008,NOV,JAN,,OBS,*Fraser; Repeat,May not be a repeat- different types of tags are used at same location -BP,,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,MR,C,146.33,-38.785,1,"Corner Inlet, Victoria",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2008; 2009,FEB,FEB,,OBS,,,,,,,
CACA,Great White Shark,3FXTNZGG_Bradford_etal_2012_Caca,3FXTNZGG,T,C,146.33,-38.785,1,"Corner Inlet, Victoria",ACOUSTIC/SONIC TAG (MARK-RECAP); FLIPPER TAG; POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2008; 2009,FEB,FEB,,OBS,Repeat,May not be a repeat- different types of tags are used at same location -BP,,,,,
CACA,Great White Shark,557IAHWD_Huveneers_etal_2013_Caca,557IAHWD,MR,A,136.0654,-35.1918,1,North Neptune Island,ACOUSTIC/SONIC TAG (MARK-RECAP),22,,,2009; 2010; 2011,JAN; JUN; JUL; AUG; SEP; OCT; DEC,JAN; JUN; JUL; AUG; SEP; OCT; NOV; DEC,,OBS,,,,,,,
CACA,Great White Shark,5EPP8JX2_Lyons_etal_2013_Caca,5EPP8JX2,MR,A,-119.0917,33.2903,5,Southern California Bight,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),26,,,2006; 2007; 2008; 2009,JUN; JUL; AUG; SEP; (UNK),JUL; SEP; OCT; NOV; DEC; (UNK),,OBS,,,,,,,
CACA,Great White Shark,5EPP8JX2_Lyons_etal_2013_Caca,5EPP8JX2,T,A,-119.0917,33.2903,5,Southern California Bight,ACOUSTIC/SONIC TAG (MARK-RECAP); POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),26,,,2006; 2007; 2008; 2009,JUN; JUL; AUG; SEP; (UNK),JUL; SEP; OCT; NOV; DEC; (UNK),,OBS,Repeat,May not be a repeat- different types of tags are used at same location -BP,,,,,
CACA,Great White Shark,67G9EXJG_Dewar_etal_2004_Caca,67G9EXJG,T,A,-119.0917,33.2903,5,"Southern California Bight near Long Beach, CA",POP-UP SATELLITE ARCHIVAL (PSAT),2,,,,JUN,JUN,,FEE; OBS,,,,,,,
CACA,Great White Shark,7KHE6XNS_Bruce_and_Bradford_2013_Caca,7KHE6XNS,MR,A,136.0654,-35.1918,1,"Neptune Islands, Australia",ACOUSTIC/SONIC TAG (MARK-RECAP),48,,,2001; 2002; 2003; 2010; 2011,JAN; FEB; MAR; JUN; JUL; AUG; OCT; DEC; (UNK),(UNK),,OBS,,,,,,,
CACA,Great White Shark,EZ47SF6E_Kukulya_etal_2015_Caca,EZ47SF6E,T,A,-118.1602,29.0802,1,NE Guadelupe Island,ACOUSTIC/SONIC TAG (TELEMETRY); VIDEO TELEMETRY,5,,,2013,NOV,NOV,,OBS,,,,,,,
