Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,
CACAR,Loggerhead,2G3JABPA_McClellan_etal_2009_Cacar,2G3JABPA,T,A,-75.67,35.29,5,"Pamlico Sound inshore waters, North Carolina",SATELLITE TAG (ARGOS),37,,,2002; 2003; 2004,SEP; (UNK),DEC; (UNK),,OBS,,,,
CACAR,Loggerhead,2M3PZJ7Q_Alvarez_de_Quevedo_etal_2013_Cacar,2M3PZJ7Q,T,A,3.92,39.78,5,Waters near Balearic Archipelago,POP-UP ARCHIVAL (PAT),27,,,2007; 2008,JUL; SEP,SEP; OCT; DEC; (UNK),,FEE,,,,
CACAR,Loggerhead,35VQD7BD_Barcelo_etal_2013_Cacar,35VQD7BD,T,A,-50,-31,5,"Brazilian waters (from -29 to -35, -47 to -52)",Argos,9,1,,2006; 2007; 2008,APR; MAY; JUN; JUL; SEP,APR; MAY; JUN; JUL; SEP,,FEE,,,,
CACAR,Loggerhead,35VQD7BD_Barcelo_etal_2013_Cacar,35VQD7BD,T,B,-53.5,-36,5,"Uruguayan EEZ waters (from -35 - -38, -51 - -55)",Argos,17,1,,2008; 2009,MAR; APR; MAY; AUG; NOV,MAR; APR; MAY; AUG; NOV,,FEE,,,,
CACAR,Loggerhead,35VQD7BD_Barcelo_etal_2013_Cacar,35VQD7BD,T,C,-47.5,-35,5,"International waters off Brazil & Uruguay (from -32 to -39, -41 to -46)",Argos,4,1,,2007; 2008,JUN; AUG,JUN; AUG,,FEE,,,,
CACAR,Loggerhead,35VQD7BD_Barcelo_etal_2013_Cacar,35VQD7BD,T,D,-50,-35,5,"Waters off Uruguay and Brazil (-25 - -35, -45 - -54)",Argos,28,3,,2006; 2007; 2008; 2009; 2010,MAR; APR; MAY; JUN; JUL; AUG; SEP; NOV,JAN; MAR; MAY; JUN; JUL; SEP; OCT; NOV; DEC,,FEE,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,MR,A,12.43,44.67,1,NW Adriatic Sea,Argos; Mark-recapture,3,1,1,2004,NOV,NOV,,FEE,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,A,12.43,44.67,1,NW Adriatic Sea,Argos; Mark-recapture,3,1,1,2004,NOV,NOV,,FEE,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,B,19.1,39.91,1,East coast of Italy in Southern Adriatic into Ionian Sea,Argos,3,5,,2004; 2005,JUL; AUG; NOV,AUG; DEC,,MIG,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,C,21.26,37.62,5,Killini and Kyparissia Bays,Argos,2,4,,2004; 2005,JUL; DEC,JUL,,BRE; WIN,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,MR,D,21.66,37.25,1,Kyparissia Bay nesting beach,Argos; Mark-recapture,2,2,1,1996; 2005,JUL; (UNK),JUL; (UNK),,NES,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,D,21.66,37.25,1,Kyparissia Bay nesting beach,Argos; Mark-recapture,2,2,1,1996; 2005,JUL; (UNK),JUL; (UNK),,NES,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,E,20.32,35.81,5,Offshore area west of Greece in Ionian Sea,Argos,2,2,,2004; 2005,DEC,FEB,,OBS,,,,
