"ZoteroID","Title","Publication Year","Author"
"FUC29RZD","Transatlantic travel by juvenile loggerhead turtle.",1989,"Eckert, S. A.; Martins, H. R."
"4F57HVWX","IXTOC I OIL SPILL & ATLANTIC RIDLEY TURTLE SURVIVAL.",1980,"Delikat, Donald S."
"XNPJKK4S","Returns of green sea turtles (Chelonia mydas Linnaeus) tagged at Bermuda.",1974,"Burnett-Herkes, J."
"KQBR9PA2","An analysis of tag recoveries from loggerhead sea turtles (Caretta caretta) nesting on Little Cumberland Island, Georgia.",1978,"Bell, R.; Richardson, J. I."
"3RIMNADA","Long-term monitoring of leatherback turtle diving behaviour during oceanic movements",2006,"Sale, Alessandro; Luschi, Paolo; Mencacci, Resi; Lambardi, Paolo; Hughes, George R.; Hays, Graeme C.; Benvenuti, Silvano; Papi, Floriano"
"BXHVSC2H","Using an ocean model to predict likely drift tracks of sea turtle carcasses in the north central Gulf of Mexico",2013,"Nero, Redwood W.; Cook, Melissa; Coleman, Andrew T.; Solangi, Moby; Hardy, Robert"
"M5SHQ4VC","Predicting bycatch hotspots for endangered leatherback turtles on longlines in the Pacific Ocean",2014,"Roe, John H.; Morreale, Stephen J.; Paladino, Frank V.; Shillinger, George L.; Benson, Scott R.; Eckert, Scott A.; Bailey, Helen; Santidrian Tomillo, Pilar; Bograd, Steven J.; Eguchi, Tomoharu; Dutton, Peter H.; Seminoff, Jeffrey A.; Block, Barbara A.; Spotila, James R."
"39SM92FW","A review of migratory behaviour of sea turtles off southeastern Africa",2006,"Luschi, P.; Lutjeharms, J.R.E.; Lambardi, P.; Mencacci, R.; Hughes, G.R.; Hays, G.C."
"4FDXNGI8","Thermal niche, large-scale movements and implications of climate change for a critically endangered marine vertebrate",2006,"McMahon, Clive R.; Hays, Graeme C."
"K7J8KH6B","Leatherback sea turtles (Dermochelys coriacea) in Irish waters.",2007,"Doyle, Tom K."
"FDX3IJ3T","The Development of Early Diving Behavior by Juvenile Flatback Sea Turtles (Natator depressus)",2010,"Salmon, Michael; Hamann, Mark; Wyneken, Jeanette"
"635G5WHQ","Development of stock enhancement technology for the hawksbill turtle.",2010,"Kobayashi, Masato; Shimizu, Tomohito"
"FIC2CN3Z","Biological aspects of marine turtles (Cheloniidae) during nesting season 1990-1991 at Praia do Forte area, district of Mata de Sao Joao, Bahia, Brazil",1993,"D'Amato, Adriana Feres; Marczwski, Mauricio"
"7ZPX2229","Comparison of Monel 49 and Inconel 681 flipper tag loss in green turtles, Chelonia mydas, nesting at Tortuguero, Costa Rica.",2003,"Troeng, Sebastian; Mangel, Jeff; Reyes, Catalina"
"VZM77WA9","Incidental capture of sea turtles in the Uruguayan trawl fishery.",2013,"Laporta, Martin; Miller, Philip; Domingo, Andres"
"NJ4SXX8K","REPRODUCTIVE BIOLOGY OF THE 'CARDON' TURTLE (Dermochelys coriacea) IN BEACHES OF THE PENINSULA OF PARIA, VENEZUELA, DURING NESTING SEASONS 2000-2006.",2010,"Rondon Medicci, Maria; Buitrago, Joaquin; Guada, Hedelvy J."
"263CPUWQ","Nesting ecology and conservation of the leatherback turtle, Dermochelys coriacea, at La Playona, Chocoan Gulf of Uraba (Colombia), in 1998",2000,"Duque, Veronica M.; Paez, Vivian P."
"6FT792GT","LEPIDOCHELYS KEMPII (Kemp's Ridley Seaturtle). ATLANTIC NESTING",2014,"Hirama, Shigetomo"
"5DPV8GVR","Historical and new data on sea turtles (Reptilia, Chelonii) on the French Mediterranean coasts (1996-2010).",2014,"Oliver, Guy"
"UTBDRGAJ","Distribution of sea turtle nesting beaches and feeding grounds and their threats for their conservation in the Colombian Caribbean.",2004,"Ceballos-Fonseca, Claudia"
